id;nome;telefone;telefone_adicional;cnpj
1;Card;transform;generating enterprise Surinam;Avenida virtual
2;capability Quality Up-sized;Casa;Incrível Central Usability;initiatives transmitter synthesize
3;digital;Queijo;driver;Ringgit payment azul
4;fúchsia Central indexing;navigate transitional;Inteligente Cambridgeshire background;invoice
5;cinza East;Loan facilitate Bola;calculating online;Frango
6;Cambridgeshire deposit payment;Carro Account;bandwidth;synergize framework
7;Investment Atum Orchestrator;Director;Jóias Avenida payment;Mesa Salada Loan
8;Engineer Security Madeira;Architect vertical;Bicicleta bypassing;evolve
9;HTTP Administrator;parallelism Borracha;calculating card invoice;eyeballs Interactions
10;capacitor Agent Trinidad;Account Cambridgeshire 24/7;interface Pequeno next-generation;bus
