id;nome;telefone;telefone_adicional;cnh;sexo
1;Robust;user Genérico envisioneer;time-frame solid syndicate;orchestration compressing;F
2;Lustroso Avenida sexy;Atum Salsicha Dynamic;Eletrônicos capacitor;Operative Guadalupe initiatives;M
3;Dynamic index;Bebê;withdrawal;Loan Bebê;M
4;Rodovia calculate;Chapéu;Berkshire Zambian Mesa;Rodovia;F
5;Configuration;Salada Account Functionality;Usability HTTP;Sabonete Inteligente;F
6;program drive Identity;laranja Security;partnerships;1080p;M
7;Sergipe invoice;Cook Mato;Salada Borracha Granito;web-enabled SMS concept;M
8;microchip coral;verde-azulado;Avon Sapatos forecast;mesh;F
9;Macio;Algodão Rodovia;Cambridgeshire brand;overriding end-to-end Rua;F
10;Dollar synergistic Salomão;Luvas;Yuan;Central end-to-end Salgadinhos;M
